id_sucursal,tipo,fecha,ingresos,egresos,saldo
1,captadora,2024-04-01,7800,2300,100000
1,captadora,2024-04-02,7900,2200,101600
1,captadora,2024-04-03,8050,2400,103250
1,captadora,2024-04-04,8200,2500,104950
1,captadora,2024-04-05,8000,2600,106350
1,captadora,2024-04-06,8350,2700,107950
1,captadora,2024-04-07,8500,2800,109650
1,captadora,2024-04-08,8600,2900,111350
1,captadora,2024-04-09,8750,3000,113100
1,captadora,2024-04-10,8900,3100,114900
1,captadora,2024-04-11,9000,3200,116700
1,captadora,2024-04-12,9150,3300,118550
1,captadora,2024-04-13,9300,3400,120450
1,captadora,2024-04-14,9450,3500,122400
1,captadora,2024-04-15,9600,3600,124400
1,captadora,2024-04-16,9750,3700,126450
1,captadora,2024-04-17,9900,3800,128550
1,captadora,2024-04-18,10000,3900,130650
1,captadora,2024-04-19,10150,4000,132800
1,captadora,2024-04-20,10300,4100,135000
1,captadora,2024-04-21,10450,4200,137250
1,captadora,2024-04-22,10600,4300,139550
1,captadora,2024-04-23,10750,4400,141900
1,captadora,2024-04-24,10900,4500,144300
1,captadora,2024-04-25,11050,4600,146750
1,captadora,2024-04-26,11200,4700,149250
1,captadora,2024-04-27,11350,4800,151800
1,captadora,2024-04-28,11500,4900,154400
1,captadora,2024-04-29,11650,5000,157050
