id_sucursal,tipo,fecha,ingresos,egresos,saldo
1,captadora,2024-02-01,8000,2000,100000
1,captadora,2024-02-02,8200,2100,101100
1,captadora,2024-02-03,7800,2200,102700
1,captadora,2024-02-04,8300,2300,104700
1,captadora,2024-02-05,8100,2400,106400
1,captadora,2024-02-06,8500,2500,108400
1,captadora,2024-02-07,8700,2600,110500
1,captadora,2024-02-08,8600,2700,112400
1,captadora,2024-02-09,8400,2800,114000
1,captadora,2024-02-10,8200,2900,115300
1,captadora,2024-02-11,8000,3000,116300
1,captadora,2024-02-12,8300,3100,117500
1,captadora,2024-02-13,8500,3200,118800
1,captadora,2024-02-14,8700,3300,120200
1,captadora,2024-02-15,8900,3400,121700
1,captadora,2024-02-16,9000,3500,123200
1,captadora,2024-02-17,9200,3600,124800
1,captadora,2024-02-18,9400,3700,126500
1,captadora,2024-02-19,9500,3800,128200
1,captadora,2024-02-20,9700,3900,130000
1,captadora,2024-02-21,9800,4000,131800
1,captadora,2024-02-22,9900,4100,133600
1,captadora,2024-02-23,10000,4200,135400
1,captadora,2024-02-24,10200,4300,137300
1,captadora,2024-02-25,10400,4400,139300
1,captadora,2024-02-26,10600,4500,141400
1,captadora,2024-02-27,10800,4600,143600
1,captadora,2024-02-28,11000,4700,145900
1,captadora,2024-02-29,11200,4800,148300
