id_sucursal,tipo,fecha,ingresos,egresos,saldo
1,captadora,2024-03-01,7900,2100,100000
1,captadora,2024-03-02,8150,2200,101850
1,captadora,2024-03-03,7650,2000,103500
1,captadora,2024-03-04,8250,2500,104250
1,captadora,2024-03-05,8000,2600,105650
1,captadora,2024-03-06,8450,2400,107700
1,captadora,2024-03-07,8600,2300,109800
1,captadora,2024-03-08,8550,2600,111750
1,captadora,2024-03-09,8200,2700,113250
1,captadora,2024-03-10,8100,2500,114850
1,captadora,2024-03-11,7950,2900,115900
1,captadora,2024-03-12,8200,3000,117100
1,captadora,2024-03-13,8450,3100,118450
1,captadora,2024-03-14,8600,3200,119850
1,captadora,2024-03-15,8850,3100,121600
1,captadora,2024-03-16,8950,3300,123250
1,captadora,2024-03-17,9100,3400,124950
1,captadora,2024-03-18,9350,3500,126800
1,captadora,2024-03-19,9400,3400,128800
1,captadora,2024-03-20,9550,3600,130750
1,captadora,2024-03-21,9650,3700,132700
1,captadora,2024-03-22,9750,3600,134850
1,captadora,2024-03-23,9900,3800,136950
1,captadora,2024-03-24,10050,3900,139100
1,captadora,2024-03-25,10200,4000,141300
1,captadora,2024-03-26,10500,4200,143600
1,captadora,2024-03-27,10700,4100,145800
1,captadora,2024-03-28,10950,4300,147950
1,captadora,2024-03-29,11100,4400,150150
